"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"textilescompositemills","MI02",15,"no",199.28,0.201880217197504,964.64,398.27,2.35600469576011,0.0898070871528251,0.20827458948416,0.773472323527028,0.0666849090162813,0.12394643001864,987.12,0.20827458948416,1.02330403051916,2.06116389548694,0.0100970310167524,0.0340230552330402
"textilescompositemills","MI02",14,"no",138.55,0.154414550966275,827.94,308,2.6072570207892,-0.112928775092883,0.208638307123705,0.704767848784076,0.0689208260130757,0.137853019191762,897.26,0.208638307123705,1.08372587385559,1.61517797179315,0.00102664444283402,-0.0473585042394377
"textilescompositemills","MI02",13,"no",122.17,0.157826064489458,787.77,273.93,2.97959683921482,-0.226317573292662,0.198636657907765,0.738140760644895,0.104953962605208,0.137750620090947,774.08,0.198636657907765,0.98262183124516,2.77875,0.00534419944907777,-0.101717506378765
"textilescompositemills","MI02",12,"no",51.82,0.412349805044959,410.4,55.08,5.47213072038757,-0.835714498762192,0.0488304093567251,0.719185167502188,-0.154681301637486,0.228932919551206,125.67,0.0488304093567251,0.306213450292398,-11.0204081632653,0.862378167641326,-0.682724171539961
"textilescompositemills","MI02",11,"no",60.92,0.0939268258838403,845.81,413.05,4.31119190378303,-0.0097811233907894,0.0190704768210355,0.916141167763919,0.912329489607556,0.0413204027197459,648.59,0.0190704768210355,0.766827065180123,44.6491712707182,-0.140374315744671,-0.00482377838994571
"engineering","MI08",15,"no",26.1,0.127815866797258,344.5,89.41,2.97199465640664,-0.581942301398046,0.119680696661829,0.344564152791381,-0.0502174217982887,0.358619000979432,204.2,0.119680696661829,0.592743105950653,-6.59235668789809,0.0341074020319303,-0.361277213352685
"engineering","MI08",14,"no",18.26,0.0752958640880789,365.36,91.56,3.19245156026294,-0.597679936725547,0.126943288811036,0.396684672796998,-0.0340978996396871,0.325264937528349,242.51,0.126943288811036,0.663756295160937,-4.875,-0.0387836654258813,-0.372290343770528
"engineering","MI08",13,"no",24.62,0.080798135932526,380.86,86.95,3.81080777586768,-0.636009711989283,0.144488788531219,0.422664172491878,0.0518670462156731,0.286731646483542,304.71,0.144488788531219,0.800057764007772,40.046875,0.0516462742214987,-0.398912986399202
"engineering","MI08",12,"no",35.92,0.0970942019191783,428.27,133.53,3.38359507865099,-0.424017599102791,0.146893314964859,0.422786863089607,-0.102661432946556,0.283443708609272,369.95,0.146893314964859,0.863824223036869,55.4677419354839,0.0476335022299017,-0.22952810143134
"engineering","MI08",11,"no",25.6,0.0863989200134998,501.48,165.75,2.70039347946368,-0.373274851589972,0.142119326792694,0.28018899763753,0.084622074337354,0.430509618629767,296.3,0.142119326792694,0.59085108080083,14.3125,0.0648879317221026,-0.196857302384941
"textilesprocessing","MI09",15,"no",2.55,0.0470740262137715,515.86,259.85,-0.800329317485944,10.8328779599271,0.453940991741945,-0.225586117777368,-2.89253187613843,0.3409636330072,54.17,0.453940991741945,0.105009110999108,-2.97336715282181,-0.119974411662079,0.461152250610631
"textilesprocessing","MI09",14,"no",6.44,0.119414055256814,601.1,237.17,-0.570228469546215,6.41387933729291,0.453585093994344,-0.47079547561654,-2.18693341669272,0.43612089745967,53.93,0.453585093994344,0.0897188487772417,-4.39398612181958,-0.0233405423390451,0.341340875062386
"textilesprocessing","MI09",13,"no",1.52,0.0209308730377307,538.61,188.98,0.0213649628595507,0.853653751839137,0.464529065557639,-0.192646653814376,-0.668563021088769,0.261773616083724,72.62,0.464529065557639,0.134828540131078,-3.39371534195933,-0.0671729080410687,0.161582592228143
"textilesprocessing","MI09",12,"no",8.89,0.0497704624342179,547.81,213.85,0.0700126687028086,1.84337189203563,0.440024826125847,0.0198186093382599,-0.662145991224571,0.141809427835629,178.62,0.440024826125847,0.326061955787591,-2.64193083573487,-0.044340190942115,0.253080447600445
"textilesprocessing","MI09",11,"no",10.25,0.146638054363376,548.26,182.91,0.506734728541146,0.46328,0.43838689672783,0.114163090128755,0.02816,0.400858369098712,69.9,0.43838689672783,0.127494254550761,2.51758793969849,-0.040965965053077,0.105625068398205
